x_axis,y_axis,은행명,은행코드,점포명,주소,주소_변환
126.9762408,37.5609607,국민,40028,남대문종합금융센터,서울특별시 중구 세종대로 50 흥국생명빌딩,서울 중구 세종대로 50 (남대문로4가)
126.9925064,37.563859,국민,40031,중부,서울특별시 중구 충무로 29 아시아미디어타워,서울 중구 충무로 29 (초동)
126.9863592,37.561307,국민,40044,명동역,서울특별시 중구 퇴계로 131 신일빌딩,서울 중구 퇴계로 131 (충무로2가，신일빌딩)
127.0069144,37.5686106,국민,40057,동대문패션타운,서울특별시 중구 장충단로13길 34 동화상가,서울 중구 장충단로13길 34， 2층 (을지로6가，동화상가)
126.9848489,37.5719999,국민,40060,종로중앙종합금융센터,서울특별시 종로구 인사동5길 29 태화빌딩,서울 종로구 인사동5길 29， 1층 (인사동，태화빌딩)
126.9996837,37.5696627,국민,40073,청계,서울특별시 종로구 청계천로 199 국민은행,서울 종로구 청계천로 199 (예지동)
126.999766,37.5713661,국민,40086,종로５가종합금융센터,서울특별시 종로구 종로 199 한일빌딩,서울 종로구 종로 199， 1，2층 (종로4가，한일빌딩)
126.973275,37.5727597,국민,40099,광화문종합금융센터,서울특별시 종로구 새문안로3길 30 대우빌딩,서울 종로구 새문안로3길 30， 1층 (내수동，광화문사옥)
126.9646461,37.5637625,국민,40112,서대문,서울특별시 서대문구 충정로 53 골든타워빌딩,서울 서대문구 충정로 53， 내 (충정로2가，골든타워빌딩)
126.9365788,37.5561317,국민,40125,신촌,서울특별시 서대문구 연세로 5 국민은행,서울 서대문구 연세로 5 (창천동)
126.9633743,37.5336688,국민,40154,용산종합금융센터,서울특별시 용산구 청파로 109 나진상가,서울 용산구 청파로 109， 14동 101호 (한강로3가，나진상가)
127.0176679,37.5930554,국민,40167,돈암동,서울특별시 성북구 동소문로 114 국민은행,서울 성북구 동소문로 114 (동선동1가)
127.030743,37.6120843,국민,40170,미아동,서울특별시 강북구 도봉로 34 트레지오빌딩,서울 강북구 도봉로 34， 트레지오 (미아동)
127.0217506,37.5659489,국민,40183,신당역,서울특별시 중구 퇴계로 447 황학 아크로타워,서울 중구 퇴계로 447， 210호 (황학동，황학아크로타워)
126.955721,37.5571117,국민,40196,아현동,서울특별시 마포구 신촌로 270,서울 마포구 신촌로 270， 수창B／D (아현동)
126.9784481,37.5603242,국민,40206,퇴계로,서울특별시 중구 남대문시장8길 2,서울특별시 중구 남대문시장8길 2
127.0228913,37.5479922,국민,40219,금호동,서울특별시 성동구 독서당로 306 국민은행금호동지점,서울 성동구 독서당로 306 (금호동4가)
127.0572732,37.5738982,국민,40222,답십리（출）,서울특별시 동대문구 전농로 99,서울 동대문구 전농로 99 (답십리동)
126.980463,37.5734269,국민,40235,세종로,서울특별시 종로구 종로5길 68 코리안리재보험빌딩,서울 종로구 종로5길 68， 1층 (수송동，코리안리재보험빌딩)
126.9202273,37.6197774,국민,40248,연신내종합금융센터,서울특별시 은평구 통일로 861,서울 은평구 통일로 861 (갈현동)
126.9622122,37.5074679,국민,40251,흑석동,서울특별시 동작구 서달로 158 명수대아파트,서울 동작구 서달로 158 (흑석동)
