index,은행코드,은행명,점포명,주소_변환,주소,x_axis,y_axis
3113,0202565,우리,인하대학교（출）,인천 남구 용현동 253 인하대학교내,인천광역시 남구 용현동 253,126.6545268,37.4499975
3114,0202578,우리,국방과학연구소（출）,대전유성구수남동 111국방과학연구소내,대전광역시 유성구 수남동 111,127.3224783,36.4182458
3115,0202581,우리,중앙대안성캠퍼스（출,경기 안성시 대덕면 내리 산40－1,경기도 안성시 대덕면 내리 산40-1,127.2298162,37.0101249
3116,0202594,우리,금호（출）,전남 광양시 금호동 716 금호쇼핑센터,전라남도 광양시 금호동 716,127.7319271,34.9402136
3117,0202604,우리,한국전자통신연구원,대전 유성구 가정동 149외,대전광역시 유성구 가정동 149,127.3669041,36.3814821
3118,0202617,우리,삼성ＳＤＩ（출）,울산 울주군 삼남면 가천리 818,울산광역시 울주군 삼남면 가천리 818,129.0919199,35.5171048
3119,0202646,우리,창동（지）,서울 도봉구 창1동 715－1,ERROR_CODE,ERROR_CODE,ERROR_CODE
3120,0202659,우리,수신업무센터,서울 마포구 상암동 1585 우리금융 상암센터,서울특별시 마포구 상암동 1585,126.8859866,37.5834416
3121,0202662,우리,매탄동（지）,경기 수원시 영통구 매탄3동 1267－1,경기도 수원시 영통구 매탄3동 1267-1,127.043283,37.2593356
3122,0202675,우리,부평중앙（지）,인천 부평구 부평동 529－15,인천광역시 부평구 부평동 529-1,126.7218371,37.4992046
3123,0202688,우리,한국원자력연구원（출,대전유성구덕진동22한국원자력연구소본관,대전광역시 유성구 덕진동 산22,127.3623747,36.4183106
3124,0202691,우리,기업금융팀,서울 중구 회현동1가 203,서울특별시 중구 회현동1가 203,126.9815607,37.5591374
3125,0202701,우리,카이스트（출）,대전 유성구 구성동 373 한국과학기술원,ERROR_CODE,ERROR_CODE,ERROR_CODE
3126,0202730,우리,도곡스위트（지）,서울 강남구 도곡동 467－7 아카데미스위트,서울특별시 강남구 도곡동 467,127.0543152,37.4880818
3127,0202743,우리,서울디지털３단지（지,서울 금천구 가산동 426－5 월드메르디앙벤쳐센터2차,서울특별시 금천구 가산동 426-4,126.8786958,37.4792551
3128,0202769,우리,서청주,충북 청주시 흥덕구 봉명동 1827,충청북도 청주시 흥덕구 봉명동 1827,127.4615136,36.6434113
3129,0202785,우리,석계역（지）,서울시 성북구 석관동 168－56,서울특별시 성북구 석관동 168-1,127.0650588,37.6138122
3130,0202808,우리,부천내동,경기부천시오정구내동59번지태양빌딩,경기도 부천시 내동 59,126.7759641,37.5157299
3131,0202811,우리,강남세브란스병원（출,서울 강남구 도곡동 146－92,서울특별시 강남구 도곡동 146-82,127.0474435,37.4925731
3132,0202824,우리,성빈센트병원（출）,경기수원시팔달구지동93－4성빈센트병원내,경기도 수원시 팔달구 지동 93-3,127.0274048,37.2792092
3133,0202837,우리,충주법원（출）,충북 충주신 교현 2동 720－2 충주지원2층,ERROR_CODE,ERROR_CODE,ERROR_CODE
3134,0202853,우리,방이역（지）,서울송파구방이동217대림가락상가,서울특별시 송파구 방이동 217,127.1241052,37.507175
3135,0202879,우리,서현동（지）,경기 성남시 분당구 서현동 297,경기도 성남시 분당구 서현동 297,127.134285,37.3764868
3136,0202882,우리,평촌금융센터,경기 안양시 동안구 비산동 1107 － 1,경기도 안양시 동안구 비산동 1107,126.9491737,37.3905038
3137,0202905,우리,스마트금융부,서울특별시 중구 소공로 51 (회현동1가， 우리은행본점),서울특별시 중구 소공로 51 우리은행본점,126.9817511,37.5594514
3138,0202921,우리,수원시청역（지）,경기 수원시 팔달구 인계동 1046－19,경기도 수원시 팔달구 인계동 1046,127.0315435,37.2632906
3139,0202934,우리,단기금융부,서울 중구 회현동1가 우리은행본점,ERROR_CODE,ERROR_CODE,ERROR_CODE
3140,0202947,우리,신길서지점,서울 영등포구 신길동 355－209,서울특별시 영등포구 신길동 355-1,126.9020908,37.5061563
3141,0202950,우리,역촌동,서울 은평구 역촌동 1－5 신성빌딩1층,서울특별시 은평구 역촌동 1-1,126.9174914,37.6108558
3142,0202963,우리,중앙기업영업본부,서울 중구 충무로1가 25－5,서울특별시 중구 충무로1가 25-1,126.9831194,37.5612096
3143,0202976,우리,구월타운（지）,인천 남동구 구월동 277외,인천광역시 남동구 구월동 277,126.7114971,37.4490686
3144,0202989,우리,서교동,서울 마포구 서교동 378－5,서울특별시 마포구 서교동 378-1,126.9172806,37.552902
3145,0202992,우리,온양삼성전자（출）,충남 아산시 배방읍 북수리 723 복지동2층,충청남도 아산시 배방읍 북수리 723,127.0637993,36.7662443
3146,0203001,우리,내외동（지）,경남 김해시 내동 1144 － 1,경상남도 김해시 내동 1144-1,128.867196,35.2355841
3147,0203014,우리,성남법원（출）,경기 성남시 수정구 단대동 75,경기도 성남시 수정구 단대동 75,127.1592237,37.4530176
3148,0203027,우리,상대원동（지）,경기 성남시 중원구 상대원동 1976－4,경기도 성남시 중원구 상대원동 1976-1,127.1596776,37.4341616
3149,0203030,우리,삼성반도체（지）,경기 용인시 기흥구 농서동 산24 삼성전자 기흥사업장 세미콘플라자2층,경기도 용인시 기흥구 농서동 산24,127.0798535,37.2298418
3150,0203043,우리,삼성전기（출）,경기 수원시 영통구 매탄3동 314－5,경기도 수원시 영통구 매탄3동 314,127.054226,37.2625789
3151,0203056,우리,압구정로데오（지）,서울 강남구 신사동 660－5,서울특별시 강남구 신사동 660,127.0370024,37.5284589
3152,0203069,우리,발안（지）,경기 화성시 향남면 평리 81－15,ERROR_CODE,ERROR_CODE,ERROR_CODE
3153,0203072,우리,야탑역금융센터,경기도 성남시 분당구 야탑동 358 － 2,경기도 성남시 분당구 야탑동 358-1,127.1282001,37.411151
3154,0203085,우리,잠실역금융센터,서울 송파구 신천동 7－18 잠실 롯데캐슬 PLAZA,서울특별시 송파구 신천동 7,127.0994131,37.519587
3155,0203098,우리,대치북,서울 강남구 대치동 904－14,서울특별시 강남구 대치동 904,127.0555021,37.5027309
3156,0203108,우리,풍무동（지）,경기도 김포시 풍무동 595,경기도 김포시 풍무동 595,126.7210788,37.5976423
3157,0203111,우리,가양동（지）,서울 강서구 가양동 1474,서울특별시 강서구 가양동 1474,126.8540787,37.566337
3158,0203137,우리,백병원（출）,부산 부산진구 개금동 633－165,부산광역시 부산진구 개금동 633,129.0172496,35.1456436
3159,0203140,우리,김포（지）,경기 김포시 사우동 927 번지,경기도 김포시 사우동 927,126.7191459,37.6191247
3160,0203153,우리,남대문기업영업본부,서울 중구 남대문로5가 서울스퀘어B 5층,ERROR_CODE,ERROR_CODE,ERROR_CODE
3161,0203182,우리,기흥삼성ＳＤＩ（출）,경기 용인시 기흥구 공세동 삼성SDI중앙연구소 복지동,ERROR_CODE,ERROR_CODE,ERROR_CODE
3162,0203195,우리,대방동,서울 동작구 대방동 501,서울특별시 동작구 대방동 501,126.9246341,37.507338
3163,0203205,우리,신당역（지）,서울 중구 흥인동 29,서울특별시 중구 흥인동 29,127.017534,37.5657613
3164,0203218,우리,연일,경북 포항시 남구 연일읍 생지리 408,경상북도 포항시 남구 연일읍 생지리 408,129.3449802,35.9996043
3165,0203221,우리,일원역（지）,서울강남구일원본동719푸른마을APT상가,서울특별시 강남구 일원본동 719,127.0808633,37.4839617
3166,0203234,우리,트윈타워기업영업본부,서울 영등포구 여의도동 23－7 유화빌딩 지상 6층,서울특별시 영등포구 여의도동 23,126.9253099,37.5249989
3167,0203247,우리,중계동,서울 노원구 중계1동 360－7,서울특별시 노원구 중계1동 360,127.0729448,37.6506477
3168,0203250,우리,ＩＣＴ지원센터,서울 중구 회현동1가 우리은행본점,ERROR_CODE,ERROR_CODE,ERROR_CODE
3169,0203263,우리,일산중앙（지）,경기 고양시 일산구 주엽동 71,ERROR_CODE,ERROR_CODE,ERROR_CODE
3170,0203276,우리,평창동,서울 종로구 평창동 81－3,서울특별시 종로구 평창동 81-1,126.9735523,37.609479
3171,0203289,우리,거여동,서울 송파구 거여동 37－1,서울특별시 송파구 거여동 37,127.145889,37.4932331
3172,0203292,우리,하남공단금융센터,광주 광산구 도천동 621－16,광주광역시 광산구 도천동 621-1,126.8141431,35.2130494
3173,0203315,우리,토월,경남창원시상남동상남동 45－1(스카이웰빙파크),ERROR_CODE,ERROR_CODE,ERROR_CODE
3174,0203328,우리,홍성,충남 홍성군 홍성읍 오관리 382－4,충청남도 홍성군 홍성읍 오관리 382-1,126.6657592,36.5999837
3175,0203331,우리,대전,대전 서구 둔산동 1495,대전광역시 서구 둔산동 1495,127.3898301,36.349289
3176,0203344,우리,안성（지）,경기 안성시 석정동 278－14,경기도 안성시 석정동 278-1,127.2657473,37.0072589
3177,0203357,우리,엑스포금융센터,대전 유성구 전민동 466－3,대전광역시 유성구 전민동 466-1,127.4057646,36.4010701
